feature,spearman_r,p,n_active_on_assay,assay,group
750,-0.04009732530948893,0.5173521558001158,17,BLAT_ECOLX_Stiffler_2015.csv,bright
7756,-0.039571621660323346,0.5228636716978796,210,BLAT_ECOLX_Stiffler_2015.csv,bright
6848,0.12573557101877672,0.04160312699268065,7,BLAT_ECOLX_Stiffler_2015.csv,bright
1156,-0.16095294541247557,0.008926530156699239,45,BLAT_ECOLX_Stiffler_2015.csv,bright
4148,-0.053167680211639756,0.39048653067906114,86,BLAT_ECOLX_Stiffler_2015.csv,bright
4171,0.07775571347496685,0.20879598065692795,21,BLAT_ECOLX_Stiffler_2015.csv,bright
5233,-0.04844482449061504,0.43400287009751304,7,BLAT_ECOLX_Stiffler_2015.csv,bright
7367,0.11414784876080006,0.06454516520057822,8,BLAT_ECOLX_Stiffler_2015.csv,bright
6194,0.002205891227069855,0.9715987663944264,10,BLAT_ECOLX_Stiffler_2015.csv,bright
5288,-0.07846210396538343,0.2328415558613975,11,GFP_AEQVI_Sarkisyan_2016.csv,bright
750,0.11173669584115946,0.08880283779049743,30,GFP_AEQVI_Sarkisyan_2016.csv,bright
8432,0.127571956767457,0.05180121937716036,53,GFP_AEQVI_Sarkisyan_2016.csv,bright
7756,-0.07486542821410189,0.25502725104020496,43,GFP_AEQVI_Sarkisyan_2016.csv,bright
1156,0.15663905240174172,0.01671478468859155,91,GFP_AEQVI_Sarkisyan_2016.csv,bright
8848,0.14092231101935457,0.03153474259936715,151,GFP_AEQVI_Sarkisyan_2016.csv,bright
8205,0.05897293041166041,0.370187797756929,49,GFP_AEQVI_Sarkisyan_2016.csv,bright
8102,-0.07784138167897703,0.23656999528801037,5,GFP_AEQVI_Sarkisyan_2016.csv,bright
4148,-0.09376224160163249,0.15367617405924558,53,GFP_AEQVI_Sarkisyan_2016.csv,bright
7484,-0.015368568851120925,0.8154949532726353,9,GFP_AEQVI_Sarkisyan_2016.csv,bright
4374,0.11182956370924436,0.08853623282646841,6,GFP_AEQVI_Sarkisyan_2016.csv,bright
4171,-0.002767018125710794,0.9664910247453975,39,GFP_AEQVI_Sarkisyan_2016.csv,bright
5233,0.10867059706207675,0.09797163412309362,24,GFP_AEQVI_Sarkisyan_2016.csv,bright
4786,0.0646029226750699,0.32617699553081225,14,GFP_AEQVI_Sarkisyan_2016.csv,bright
9032,0.01700388573636084,0.796271220243586,9,GFP_AEQVI_Sarkisyan_2016.csv,bright
7367,-0.28064492235436383,1.3705298111654787e-05,86,GFP_AEQVI_Sarkisyan_2016.csv,bright
7656,0.10179392097062273,0.1212645067491054,10,GFP_AEQVI_Sarkisyan_2016.csv,bright
5288,-0.10751663866150031,0.4346149259958803,23,SPG1_STRSG_Olson_2014.csv,bright
8432,-0.1168329734552623,0.39562006470412875,8,SPG1_STRSG_Olson_2014.csv,bright
7756,0.05931642241570824,0.6670665757150493,22,SPG1_STRSG_Olson_2014.csv,bright
1156,-0.3888973683930981,0.0033423603972800816,22,SPG1_STRSG_Olson_2014.csv,bright
1828,-0.05189440662681455,0.706713835717792,11,SPG1_STRSG_Olson_2014.csv,bright
8848,-0.3041761714035869,0.02395755536254175,35,SPG1_STRSG_Olson_2014.csv,bright
8205,-0.05286059774768723,0.7015058682430734,9,SPG1_STRSG_Olson_2014.csv,bright
4148,0.13422834016317714,0.32855430612433234,20,SPG1_STRSG_Olson_2014.csv,bright
5233,-0.2464961348361432,0.06964977413041572,9,SPG1_STRSG_Olson_2014.csv,bright
7367,0.21965325201269892,0.1071094023764069,7,SPG1_STRSG_Olson_2014.csv,bright
8734,0.14823820766259765,0.28010040829457195,6,SPG1_STRSG_Olson_2014.csv,bright
7656,0.07312862494618301,0.5957023378174906,5,SPG1_STRSG_Olson_2014.csv,bright
